"benchmark_id","case_id","dataset_group","difficulty","query","gold_fact_count","gold_qrel_count","full_provision_ranked_provisions","full_provision_context_provisions","full_provision_returned_provisions","full_provision_recall_at_k","full_provision_precision_at_k","full_provision_ndcg_at_k","full_provision_fact_coverage","full_provision_evidence_precision","full_provision_context_chars","full_provision_context_words","full_provision_estimated_context_tokens","full_structured_ranked_provisions","full_structured_context_provisions","full_structured_returned_provisions","full_structured_recall_at_k","full_structured_precision_at_k","full_structured_ndcg_at_k","full_structured_fact_coverage","full_structured_evidence_precision","full_structured_context_chars","full_structured_context_words","full_structured_estimated_context_tokens"
"R088","Q258","qdrant","Trung bình","Tại ngày 01/07/2023, thời hạn nộp hồ sơ khai thuế đối với các loại thuế khai theo tháng, quý và các loại thuế theo năm (quyết toán thuế thu nhập cá nhân, khai thuế khoán) được quy định như thế nào?","1","2","5","5","5","1.0","0.4","1.0","1.0","0.4","3181","705","796","7","7","7","1.0","0.285714","1.0","1.0","0.285714","3487","773","872"
"R089","Q249","qdrant","Trung bình","hộ kinh doanh chuyển từ thuế khoán sang kê khai doanh thu xác định nghĩa vụ thuế các năm trước","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","7862","1714","1966","9","9","9","1.0","0.111111","1.0","1.0","0.111111","12031","2633","3008"
"R090","Q257","qdrant","Trung bình","Vào ngày 01/07/2023, thẩm quyền quyết định xóa nợ tiền thuế, tiền chậm nộp, tiền phạt đối với doanh nghiệp, hợp tác xã được phân cấp như thế nào dựa trên số tiền nợ?","3","2","5","5","5","1.0","0.4","0.877215","1.0","0.4","4349","942","1088","6","6","6","1.0","0.333333","0.877215","1.0","0.333333","4667","1012","1167"
"R091","Q255","qdrant","Trung bình","Tại thời điểm ngày 18/09/2023, nếu người nộp thuế chọn nộp tiền cấp quyền khai thác khoáng sản hai lần trong năm thì thời hạn nộp cho từng kỳ là khi nào?","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","6912","1524","1728","7","7","7","1.0","0.142857","1.0","1.0","0.142857","7698","1700","1925"
"R092","Q244","qdrant","Trung bình","Luật Thuế giá trị gia tăng số 48/2024/QH15 có hiệu lực từ khi nào","1","1","5","5","5","1.0","0.2","0.63093","1.0","0.2","4475","988","1119","5","5","5","1.0","0.2","0.63093","1.0","0.2","4475","988","1119"
"R093","Q274","qdrant","Khó","trách nhiệm kê khai và nộp thuế đối với cá nhân cư trú kinh doanh trên sàn thương mại điện tử có chức năng đặt hàng và thanh toán trực tuyến","2","1","5","5","5","1.0","0.2","0.430677","1.0","0.2","4123","895","1031","7","7","7","1.0","0.142857","0.430677","1.0","0.142857","4994","1086","1249"
"R094","Q271","qdrant","Khó","thời hạn nộp hồ sơ khai thuế quý I năm 2026 đối với hộ kinh doanh","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","3419","757","855","9","9","9","1.0","0.111111","1.0","1.0","0.111111","6488","1434","1622"
"R095","Q278","qdrant","Khó","xử lý tiền thuế nợ tồn tại đến hết ngày 30 tháng 6 năm 2020","1","2","5","5","5","1.0","0.4","1.0","1.0","0.4","9951","2192","2488","8","8","8","1.0","0.25","1.0","1.0","0.25","11018","2415","2755"
"R096","Q276","qdrant","Khó","hoàn thuế giá trị gia tăng thuế đầu vào chưa khấu trừ hết 14 tháng liên tục dịch vụ thuế suất 5 phần trăm","1","1","5","5","5","1.0","0.2","0.63093","1.0","0.2","10515","2359","2629","7","7","7","1.0","0.142857","0.63093","1.0","0.142857","13941","3132","3486"
"R097","Q279","qdrant","Khó","thẩm quyền quyết định xóa nợ tiền thuế tiền phạt 7 tỷ đồng","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","1364","282","341","6","6","6","1.0","0.166667","1.0","1.0","0.166667","1682","352","421"
"R098","Q273","qdrant","Khó","hệ thống quản lý thuế điện tử của cơ quan thuế bị lỗi hạn nộp hồ sơ thuế","1","1","5","6","6","1.0","0.2","1.0","1.0","0.166667","9164","2031","2291","9","10","10","1.0","0.111111","1.0","1.0","0.1","11724","2593","2931"
"R099","Q280","qdrant","Khó","thời hạn nộp thuế đối với hộ kinh doanh mới ra kinh doanh","1","1","5","6","6","1.0","0.2","1.0","1.0","0.166667","4485","983","1122","9","10","10","1.0","0.111111","1.0","1.0","0.1","6509","1427","1628"
"R100","Q275","qdrant","Khó","hủy bỏ lệnh tạm hoãn xuất cảnh nợ thuế nộp bớt tiền thuế","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","6046","1330","1512","7","7","7","1.0","0.142857","1.0","1.0","0.142857","8920","1959","2230"
