"benchmark_id","case_id","dataset_group","difficulty","query","gold_fact_count","gold_qrel_count","status","dense_candidate_pool","dense_ranked_subchunks","dense_context_subchunks","dense_recall_at_k","dense_precision_at_k","dense_ndcg_at_k","dense_fact_coverage","dense_evidence_precision","dense_context_chars","dense_context_words","dense_estimated_context_tokens","bm25_candidate_pool","bm25_ranked_subchunks","bm25_context_subchunks","bm25_recall_at_k","bm25_precision_at_k","bm25_ndcg_at_k","bm25_fact_coverage","bm25_evidence_precision","bm25_context_chars","bm25_context_words","bm25_estimated_context_tokens","hybrid_rrf_candidate_pool","hybrid_rrf_ranked_subchunks","hybrid_rrf_context_subchunks","hybrid_rrf_recall_at_k","hybrid_rrf_precision_at_k","hybrid_rrf_ndcg_at_k","hybrid_rrf_fact_coverage","hybrid_rrf_evidence_precision","hybrid_rrf_context_chars","hybrid_rrf_context_words","hybrid_rrf_estimated_context_tokens","hybrid_rerank_candidate_pool","hybrid_rerank_ranked_subchunks","hybrid_rerank_context_subchunks","hybrid_rerank_recall_at_k","hybrid_rerank_precision_at_k","hybrid_rerank_ndcg_at_k","hybrid_rerank_fact_coverage","hybrid_rerank_evidence_precision","hybrid_rerank_context_chars","hybrid_rerank_context_words","hybrid_rerank_estimated_context_tokens","elapsed_seconds"
"R059","C07","current","Khó","Tôi là cá nhân cư trú cung cấp trò chơi điện tử, doanh thu năm 1,5 tỷ đồng và chọn nộp thuế thu nhập cá nhân theo tỷ lệ trên doanh thu. Theo quy định hiện hành, tôi phải nộp bao nhiêu?","3","2","ok","20","5","5","0.5","0.2","0.306574","1.0","0.4","1693","379","424","20","5","5","0.5","0.2","0.306574","0.666667","0.2","1964","427","491","20","5","5","0.5","0.2","0.613147","0.666667","0.2","1992","440","498","20","5","5","0.5","0.2","0.613147","0.333333","0.2","1442","325","361","5.466"
"R060","C40","current","Khó","Doanh nghiệp đủ điều kiện gia hạn năm 2026, nộp hồ sơ khai thuế đúng hạn nhưng đến ngày 03/11/2026 mới gửi văn bản đề nghị gia hạn. Doanh nghiệp có được hưởng gia hạn và miễn tiền chậm nộp trong thời gian đó không?","3","2","ok","20","5","5","1.0","0.4","0.693426","0.333333","0.2","1519","338","380","20","5","5","1.0","0.4","0.850345","0.333333","0.2","1613","359","404","20","5","5","1.0","0.4","0.877215","0.333333","0.2","1613","359","404","20","5","5","1.0","0.4","0.650921","0.333333","0.2","1758","393","440","5.34"
"R061","T08","temporal","Dễ","Vào ngày 01/07/2013, thời hạn nộp thuế đối với trường hợp khai theo tháng và khai theo quý được quy định thế nào?","2","1","ok","20","5","5","1.0","0.2","0.5","1.0","0.2","1750","380","438","20","5","5","1.0","0.2","0.5","1.0","0.2","1903","413","476","20","5","5","1.0","0.2","0.5","1.0","0.2","1791","394","448","20","5","5","1.0","0.2","1.0","1.0","0.2","1398","303","350","9.09"
"R062","T10","temporal","Dễ","Tại ngày 01/01/2015, thu nhập chịu thuế từ chuyển nhượng bất động sản được xác định thế nào?","1","1","ok","20","5","5","1.0","0.2","0.5","1.0","0.2","1384","293","346","20","5","5","1.0","0.2","0.5","1.0","0.2","929","195","233","20","5","5","1.0","0.2","0.63093","1.0","0.2","1164","247","291","20","5","5","1.0","0.2","0.63093","1.0","0.2","844","175","211","9.127"
"R063","T04","temporal","Dễ","Tại ngày 01/01/2014, bán, cho thuê hoặc cho thuê mua nhà ở xã hội có thuộc nhóm chịu thuế suất giá trị gia tăng 5% không?","2","1","ok","20","5","5","1.0","0.2","1.0","0.0","0.0","1254","287","314","20","5","5","1.0","0.2","1.0","0.0","0.0","1109","257","278","20","5","5","1.0","0.2","1.0","0.0","0.0","1301","296","326","20","5","5","1.0","0.2","1.0","0.0","0.0","1199","278","300","8.917"
"R064","T05","temporal","Dễ","Vào ngày 31/12/2014, thức ăn gia súc, gia cầm và thức ăn cho vật nuôi khác có nằm trong nhóm thuế suất giá trị gia tăng 5% không?","2","1","ok","20","5","5","1.0","0.2","0.63093","0.5","0.2","1584","346","396","20","5","5","1.0","0.2","0.63093","0.5","0.2","1405","304","352","20","5","5","1.0","0.2","0.63093","0.5","0.2","1304","284","326","20","5","5","1.0","0.2","1.0","0.5","0.2","1584","346","396","9.254"
"R065","T23","temporal","Trung bình","Trong năm 2020, quy định về hạn nộp hồ sơ khai thuế theo quý đã thay đổi như thế nào từ ngày 01/07?","1","2","ok","20","5","5","0.5","0.2","0.386853","1.0","0.2","2153","482","539","20","5","5","0.0","0.0","0.0","0.0","0.0","1824","418","456","20","5","5","0.0","0.0","0.0","0.0","0.0","2067","469","517","20","5","5","0.0","0.0","0.0","0.0","0.0","2055","466","514","14.144"
"R066","T24","temporal","Trung bình","Trong tháng 11/2020, thời gian gia hạn nộp thuế tối đa theo khoản 3 Điều 31 Nghị định 83/2013/NĐ-CP là bao lâu?","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1987","437","497","20","5","5","1.0","0.2","1.0","1.0","0.2","1955","437","489","20","5","5","1.0","0.2","1.0","1.0","0.2","1797","403","450","20","5","5","1.0","0.2","1.0","1.0","0.2","1906","427","477","9.614"
"R067","T13","temporal","Trung bình","Trong năm 2013, mức giảm trừ gia cảnh đã thay đổi như thế nào?","2","2","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","988","219","247","20","5","5","0.0","0.0","0.0","0.0","0.0","1215","258","304","20","5","5","0.0","0.0","0.0","0.0","0.0","1174","252","294","20","5","5","0.0","0.0","0.0","0.0","0.0","1723","372","431","8.27"
"R068","T22","temporal","Trung bình","thời hạn nộp hồ sơ khai thuế theo tháng trong tháng 7 năm 2020","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1257","280","315","20","5","5","0.0","0.0","0.0","0.0","0.0","1560","349","390","20","5","5","1.0","0.2","0.63093","1.0","0.2","1456","323","364","20","5","5","1.0","0.2","1.0","1.0","0.2","1588","344","397","8.712"
"R069","T14","temporal","Trung bình","Trong năm 2014, nhà ở xã hội được xử lý thế nào trong nhóm thuế suất giá trị gia tăng 5%?","2","1","ok","20","5","5","1.0","0.2","0.63093","0.0","0.0","1009","233","253","20","5","5","1.0","0.2","1.0","0.0","0.0","1083","251","271","20","5","5","1.0","0.2","0.63093","0.0","0.0","997","232","250","20","5","5","1.0","0.2","1.0","0.0","0.0","1409","330","353","8.829"
"R070","T17","temporal","Trung bình","Trong tháng 01/2025, khoản 1 Điều 24 Luật Thuế thu nhập cá nhân đã quy định trách nhiệm khấu trừ, nộp thay của tổ chức quản lý sàn và nền tảng số chưa?","1","1","ok","20","5","5","1.0","0.2","1.0","0.0","0.0","1859","419","465","20","5","5","1.0","0.2","1.0","0.0","0.0","1552","344","388","20","5","5","1.0","0.2","1.0","0.0","0.0","1626","364","407","20","5","5","1.0","0.2","1.0","0.0","0.0","1539","338","385","9.953"
"R071","T37","temporal","Khó","ngưỡng doanh thu không chịu thuế giá trị gia tăng đối với hộ kinh doanh, cá nhân kinh doanh","2","3","ok","40","10","10","1.0","0.3","0.871079","1.0","0.3","2883","632","721","40","10","10","1.0","0.3","0.913402","1.0","0.3","2801","623","701","40","10","10","1.0","0.3","0.921787","1.0","0.3","2835","629","709","40","10","10","1.0","0.3","0.932521","1.0","0.3","2632","578","658","21.695"
"R072","T50","temporal","Khó","So sánh thuế suất lũy tiến áp dụng cho phần thu nhập tính thuế 25 triệu đồng/tháng tại ngày 30/06/2026 và ngày 01/07/2026.","1","2","ok","40","10","10","1.0","0.2","0.81753","1.0","0.1","1900","473","475","40","10","10","0.0","0.0","0.0","0.0","0.0","2996","662","749","40","10","10","1.0","0.2","0.60526","1.0","0.1","2463","605","616","40","10","10","1.0","0.2","0.5","1.0","0.1","3090","730","773","28.276"
"R073","T45","temporal","Khó","ngưỡng doanh thu không chịu thuế giá trị gia tăng đối với hộ kinh doanh, cá nhân kinh doanh","2","3","ok","20","5","5","0.333333","0.2","0.469279","0.5","0.2","1340","298","335","20","5","5","1.0","0.6","0.88546","1.0","0.6","1218","268","305","20","5","5","1.0","0.6","0.712263","1.0","0.6","1217","272","305","20","5","5","1.0","0.6","1.0","1.0","0.6","1553","341","389","15.079"
"R074","T36","temporal","Khó","So sánh thời hạn nộp hồ sơ khai thuế theo quý tại ngày 30/06/2020 và ngày 01/07/2020.","1","2","ok","40","10","10","1.0","0.2","0.60526","1.0","0.2","2336","519","584","40","10","10","1.0","0.2","0.806574","1.0","0.2","3256","717","814","40","10","10","1.0","0.2","0.831555","1.0","0.2","3221","716","806","40","10","10","1.0","0.2","0.81753","1.0","0.2","3107","685","777","18.174"
"R075","T46","temporal","Khó","Trong khoảng từ 15/06/2020 đến 15/07/2020, thời hạn nộp hồ sơ khai thuế theo quý thay đổi thế nào?","1","2","ok","20","5","5","0.5","0.2","0.613147","1.0","0.2","1259","281","315","20","5","5","0.5","0.2","0.237198","1.0","0.2","1332","295","333","20","5","5","0.5","0.2","0.613147","1.0","0.2","1268","285","317","20","5","5","1.0","0.4","0.919721","1.0","0.4","1410","307","353","11.772"
"R076","T35","temporal","Khó","So sánh thời hạn nộp thuế theo tháng và theo quý tại ngày 31/12/2012 và ngày 01/07/2013 theo Luật Quản lý thuế 78/2006/QH11.","2","2","ok","40","10","10","0.5","0.1","0.204382","0.5","0.1","1759","383","440","40","10","10","0.5","0.1","0.193426","0.5","0.1","2932","651","733","40","10","10","0.5","0.1","0.204382","0.5","0.1","2586","568","647","40","10","10","0.5","0.1","0.177239","0.5","0.1","2527","570","632","14.643"
"R077","T33","temporal","Khó","So sánh tình trạng của bán, cho thuê, cho thuê mua nhà ở xã hội trong nhóm thuế suất thuế giá trị gia tăng 5% tại ngày 31/12/2013 và ngày 01/01/2014.","3","2","ok","40","10","10","1.0","0.2","0.455605","0.0","0.0","2751","623","688","40","10","10","0.5","0.1","0.218407","0.0","0.0","2767","639","692","40","10","10","0.5","0.1","0.218407","0.0","0.0","2266","510","567","40","10","10","0.5","0.1","0.218407","0.0","0.0","2724","621","681","15.17"
"R078","T39","temporal","Khó","So sánh thời gian gia hạn nộp thuế tại khoản 3 Điều 31 Nghị định 83/2013/NĐ-CP vào ngày 31/10/2014 và ngày 01/12/2014.","1","2","ok","40","10","10","1.0","0.2","0.81753","1.0","0.2","3139","698","785","40","10","10","1.0","0.2","0.510956","1.0","0.2","3186","715","797","40","10","10","1.0","0.2","0.81753","1.0","0.2","2763","618","691","40","10","10","1.0","0.2","0.831555","1.0","0.2","3733","840","934","17.668"
"R079","T48","temporal","Khó","thời hạn nộp tiền sử dụng đất theo thông báo của cơ quan thuế trong khoảng từ ngày 01/02/2026 đến ngày 01/03/2026","1","2","ok","20","5","5","1.0","0.4","0.919721","1.0","0.2","1901","433","476","20","5","5","1.0","0.4","0.650921","1.0","0.4","1594","358","399","20","5","5","1.0","0.4","0.877215","1.0","0.2","1649","371","413","20","5","5","1.0","0.4","1.0","0.0","0.0","1675","373","419","13.201"
"R080","T32","temporal","Khó","So sánh giá tính thuế giá trị gia tăng đối với hàng hóa nhập khẩu tại ngày 31/12/2013 và ngày 01/01/2014.","1","2","ok","40","10","10","1.0","0.2","0.806574","0.0","0.0","2708","606","677","40","10","10","1.0","0.2","0.491149","0.0","0.0","3315","732","829","40","10","10","1.0","0.2","0.81753","0.0","0.0","3256","732","814","40","10","10","1.0","0.2","0.81753","0.0","0.0","3121","696","781","16.971"
"R081","Q219","qdrant","Dễ","Tại ngày 18/09/2023, nếu người nộp thuế sử dụng đất nông nghiệp chọn nộp thuế hai lần trong năm thì thời hạn nộp cho từng kỳ là bao giờ?","2","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.4","1857","412","465","20","5","5","1.0","0.2","1.0","1.0","0.4","1911","431","478","20","5","5","1.0","0.2","1.0","1.0","0.4","2145","479","537","20","5","5","1.0","0.2","1.0","1.0","0.4","1916","432","479","11.436"
"R082","Q222","qdrant","Dễ","Tại ngày 18/09/2023, nếu tôi chọn nộp tiền sử dụng khu vực biển hàng năm làm hai lần trong năm thì thời hạn nộp tiền cho từng kỳ được quy định thế nào?","2","1","ok","20","5","5","1.0","0.2","1.0","0.5","0.2","1778","397","445","20","5","5","1.0","0.2","1.0","0.5","0.2","1610","364","403","20","5","5","1.0","0.2","1.0","0.5","0.2","1615","365","404","20","5","5","1.0","0.2","1.0","0.5","0.2","1615","365","404","4.506"
"R083","Q212","qdrant","Dễ","Cá nhân không cư trú kinh doanh trên nền tảng số không có chức năng đặt hàng và thanh toán trực tuyến thì có phải quyết toán thuế thu nhập cá nhân không?","1","1","ok","20","5","5","1.0","0.2","1.0","0.0","0.0","1962","432","491","20","5","5","1.0","0.2","1.0","0.0","0.0","1914","409","479","20","5","5","1.0","0.2","1.0","0.0","0.0","1952","431","488","20","5","5","1.0","0.2","0.63093","0.0","0.0","1937","425","485","19.917"
"R084","Q217","qdrant","Dễ","Nếu hộ gia đình tôi xác định lại số tiền sử dụng đất phải nộp sau 05 năm kể từ ngày có quyết định giao đất tái định cư, thì thời hạn nộp 100% số tiền này là bao lâu?","2","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1807","406","452","20","5","5","1.0","0.2","1.0","1.0","0.2","1925","433","482","20","5","5","1.0","0.2","1.0","1.0","0.2","1888","425","472","20","5","5","1.0","0.2","1.0","1.0","0.2","1807","405","452","5.075"
"R085","Q211","qdrant","Dễ","Nếu tôi bán hàng trên một nền tảng thương mại điện tử có chức năng đặt hàng và thanh toán trực tuyến, thì ai là người có trách nhiệm khấu trừ, khai và nộp thuế thay cho tôi?","2","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","2022","436","506","20","5","5","0.0","0.0","0.0","0.0","0.0","1871","402","468","20","5","5","0.0","0.0","0.0","0.0","0.0","2334","504","584","20","5","5","1.0","0.2","0.63093","0.0","0.0","2343","507","586","5.542"
"R086","Q248","qdrant","Trung bình","nghĩa vụ về hóa đơn điện tử đối với hộ kinh doanh có doanh thu năm trên 1 tỷ đồng","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1796","414","449","20","5","5","0.0","0.0","0.0","0.0","0.0","1845","422","462","20","5","5","0.0","0.0","0.0","0.0","0.0","1796","414","449","20","5","5","0.0","0.0","0.0","0.0","0.0","1468","339","367","4.61"
"R087","Q246","qdrant","Trung bình","Quy định về hóa đơn điện tử đối với hộ kinh doanh và lộ trình áp dụng giao dịch điện tử trong quản lý thuế có hiệu lực từ khi nào và hạn cuối hoàn thành là ngày nào?","2","2","ok","20","5","5","0.5","0.2","0.386853","1.0","0.2","1246","278","312","20","5","5","0.5","0.2","0.613147","0.5","0.2","1894","427","474","20","5","5","0.5","0.2","0.386853","1.0","0.2","1460","331","365","20","5","5","1.0","0.4","1.0","1.0","0.4","1196","272","299","4.847"
"R088","Q258","qdrant","Trung bình","Tại ngày 01/07/2023, thời hạn nộp hồ sơ khai thuế đối với các loại thuế khai theo tháng, quý và các loại thuế theo năm (quyết toán thuế thu nhập cá nhân, khai thuế khoán) được quy định như thế nào?","1","2","ok","20","5","5","0.5","0.2","0.613147","1.0","0.2","1652","369","413","20","5","5","1.0","0.4","0.919721","1.0","0.2","1907","419","477","20","5","5","1.0","0.4","1.0","1.0","0.2","2109","462","528","20","5","5","1.0","0.4","1.0","1.0","0.2","2008","446","502","11.154"
"R089","Q249","qdrant","Trung bình","hộ kinh doanh chuyển từ thuế khoán sang kê khai doanh thu xác định nghĩa vụ thuế các năm trước","1","1","ok","20","5","5","1.0","0.2","1.0","0.0","0.0","2106","459","527","20","5","5","1.0","0.2","1.0","0.0","0.0","2017","440","505","20","5","5","1.0","0.2","1.0","0.0","0.0","2044","446","511","20","5","5","1.0","0.2","1.0","0.0","0.0","2044","446","511","21.192"
"R090","Q257","qdrant","Trung bình","Vào ngày 01/07/2023, thẩm quyền quyết định xóa nợ tiền thuế, tiền chậm nộp, tiền phạt đối với doanh nghiệp, hợp tác xã được phân cấp như thế nào dựa trên số tiền nợ?","3","2","ok","20","5","5","1.0","0.4","0.543771","1.0","0.4","1364","282","341","20","5","5","0.5","0.2","0.237198","0.666667","0.2","1831","394","458","20","5","5","1.0","0.4","0.543771","1.0","0.4","1660","353","415","20","5","5","1.0","0.4","0.570642","1.0","0.4","1658","347","415","11.595"
"R091","Q255","qdrant","Trung bình","Tại thời điểm ngày 18/09/2023, nếu người nộp thuế chọn nộp tiền cấp quyền khai thác khoáng sản hai lần trong năm thì thời hạn nộp cho từng kỳ là khi nào?","2","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.4","1374","301","344","20","5","5","1.0","0.2","1.0","1.0","0.4","1742","386","436","20","5","5","1.0","0.2","1.0","1.0","0.4","1739","379","435","20","5","5","1.0","0.2","1.0","1.0","0.4","1704","376","426","9.733"
"R092","Q244","qdrant","Trung bình","Luật Thuế giá trị gia tăng số 48/2024/QH15 có hiệu lực từ khi nào","1","1","ok","20","5","5","1.0","0.2","0.63093","1.0","0.2","804","173","201","20","5","5","1.0","0.2","0.5","1.0","0.2","1621","361","406","20","5","5","1.0","0.2","1.0","1.0","0.2","1069","229","268","20","5","5","1.0","0.2","0.430677","1.0","0.2","1017","220","255","17.816"
"R093","Q274","qdrant","Khó","trách nhiệm kê khai và nộp thuế đối với cá nhân cư trú kinh doanh trên sàn thương mại điện tử có chức năng đặt hàng và thanh toán trực tuyến","2","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","2174","474","544","20","5","5","0.0","0.0","0.0","0.0","0.0","2090","449","523","20","5","5","0.0","0.0","0.0","0.0","0.0","2095","454","524","20","5","5","0.0","0.0","0.0","0.0","0.0","2147","467","537","5.218"
"R094","Q271","qdrant","Khó","thời hạn nộp hồ sơ khai thuế quý I năm 2026 đối với hộ kinh doanh","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1561","342","391","20","5","5","1.0","0.2","1.0","1.0","0.2","1628","353","407","20","5","5","1.0","0.2","0.386853","1.0","0.2","1483","327","371","20","5","5","0.0","0.0","0.0","0.0","0.0","1442","318","361","4.565"
"R095","Q278","qdrant","Khó","xử lý tiền thuế nợ tồn tại đến hết ngày 30 tháng 6 năm 2020","1","2","ok","20","5","5","1.0","0.4","1.0","1.0","0.4","1367","297","342","20","5","5","1.0","0.4","1.0","1.0","0.4","1631","364","408","20","5","5","1.0","0.4","1.0","1.0","0.4","1437","315","360","20","5","5","1.0","0.4","1.0","1.0","0.4","1607","355","402","11.051"
"R096","Q276","qdrant","Khó","hoàn thuế giá trị gia tăng thuế đầu vào chưa khấu trừ hết 14 tháng liên tục dịch vụ thuế suất 5 phần trăm","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","2449","559","613","20","5","5","1.0","0.2","0.63093","1.0","0.2","1901","439","476","20","5","5","1.0","0.2","1.0","1.0","0.2","2216","505","554","20","5","5","1.0","0.2","0.63093","1.0","0.2","1995","447","499","17.784"
"R097","Q279","qdrant","Khó","thẩm quyền quyết định xóa nợ tiền thuế tiền phạt 7 tỷ đồng","1","1","ok","20","5","5","1.0","0.2","0.430677","1.0","0.2","1207","256","302","20","5","5","0.0","0.0","0.0","0.0","0.0","1685","358","422","20","5","5","1.0","0.2","0.430677","1.0","0.2","1150","237","288","20","5","5","0.0","0.0","0.0","0.0","0.0","1589","337","398","11.009"
"R098","Q273","qdrant","Khó","hệ thống quản lý thuế điện tử của cơ quan thuế bị lỗi hạn nộp hồ sơ thuế","1","1","ok","20","5","5","1.0","0.2","0.430677","1.0","0.2","1560","344","390","20","5","5","0.0","0.0","0.0","0.0","0.0","2089","460","523","20","5","5","1.0","0.2","0.430677","0.0","0.0","2025","443","507","20","5","5","1.0","0.2","0.430677","1.0","0.2","2283","507","571","17.699"
"R099","Q280","qdrant","Khó","thời hạn nộp thuế đối với hộ kinh doanh mới ra kinh doanh","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","2148","475","537","20","5","5","1.0","0.2","1.0","1.0","0.2","1748","386","437","20","5","5","1.0","0.2","1.0","1.0","0.2","2088","464","522","20","5","5","1.0","0.2","1.0","1.0","0.2","2086","457","522","11.025"
"R100","Q275","qdrant","Khó","hủy bỏ lệnh tạm hoãn xuất cảnh nợ thuế nộp bớt tiền thuế","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1564","348","391","20","5","5","1.0","0.2","0.386853","0.0","0.0","1703","376","426","20","5","5","1.0","0.2","1.0","1.0","0.2","1979","438","495","20","5","5","1.0","0.2","1.0","1.0","0.2","1819","403","455","17.772"
